#ritz_wl_air(nm)	intens
377.0369	20
383.4678	7
394.7505	7
394.8979	35
404.4418	50
415.8591	400
416.4180	50
418.1884	50
419.0713	100
419.1029	50
419.8317	200
420.0675	400
425.1185	25
425.9362	200
426.6287	100
427.2169	150
430.0101	100
433.3561	100
433.5338	50
434.5168	25
451.0733	100
452.2323	20
459.6097	15
462.8441	7
470.2316	15
515.1391	5
516.2285	15
518.7746	20
522.1270	7
542.1351	5
545.1652	10
549.5873	25
550.6112	5
555.8702	25
557.2541	10
560.6733	35
565.0704	20
573.9519	10
583.4264	5
586.0310	10
588.2624	15
588.8584	25
591.2085	50
592.8812	15
594.2668	5
598.7301	7
599.8998	5
602.5150	5
603.2127	70
604.3223	35
605.2723	10
605.9372	20
609.8803	7
610.5635	10
614.5441	10
617.0174	7
617.3096	10
621.2503	10
621.5939	5
629.6873	7
630.7657	15
636.9575	7
638.4717	20
641.6307	70
653.8112	15
666.4051	5
667.7281	100
676.6611	15
687.9583	5
695.1477	7
696.0250	7
706.7217	10000
706.8735	100
710.7477	25
712.5820	25
714.7041	1000
715.8839	15
720.6980	70
726.517	15
727.067	7
727.2935	2000
731.1716	35
731.6005	25
735.0814	5
735.330	70
737.2117	200
738.3980	10000
739.2980	20
741.2337	15
742.5294	10
743.5368	25
743.6297	10
750.3868	20000
751.4651	15000
763.5105	25000
772.3760	15000
772.4207	10000
789.1075	10
794.8176	20000
800.6156	20000
801.4785	25000
805.3308	7
810.3692	20000
811.5311	35000
826.4521	10000
