#obs_wl_air(nm)	intens
377.05194	33
377.4522	4
377.75310	5
378.08394	81
378.63819	20
379.3226	1
379.65931	13
379.93811	12
380.31720	69
380.85745	14
380.94558	91
381.1212	2
381.90150	8
382.3254	3
382.56723	19
382.68067	30
383.0165	1
383.03951	6
383.05209	7
383.8239	1
384.15186	18
384.45622	6
384.47306	5
384.54049	32
385.05808	263
385.51603	6
385.61374	6
386.1348	3
386.85281	166
387.21361	11
387.52641	78
388.03323	15
389.14011	14
389.19787	50
389.52506	5
390.06251	8
391.15759	6
391.47674	25
391.77669	5
392.2359	2
392.3556	1
392.57186	129
392.60451	13
392.86227	191
393.12353	17
393.25463	91
393.5275	1
393.8843	1
394.42712	49
394.60969	204
395.27280	16
395.83790	7
396.83589	59
397.44764	50
397.47582	15
397.93554	87
398.81573	12
399.20531	21
399.47916	58
399.92518	4
400.11378	3
400.53620	10
400.7632	2
401.12084	12
401.38561	145
401.98434	7
403.13769	6
403.38090	95
403.54595	50
403.88039	18
404.2190	3
404.28934	288
404.56769	8
404.74803	10
405.1122	5
405.29206	178
405.3540	1
405.7672	1
406.51114	3
407.07837	10
407.20043	708
407.23843	178
407.66282	85
407.69432	47
407.95734	100
408.06359	85
408.07022	40
408.23868	76
408.3466	1
409.71351	28
409.72033	12
409.94554	11
410.38323	158
410.39118	447
411.4487	2
411.63756	8
412.4058	1
412.86399	18
412.96820	12
413.17232	891
414.4245	5
414.7377	2
415.2909	0.5
415.60854	60
416.89696	6
417.83650	13
417.92972	50
418.35909	4
418.96507	16
419.98887	9
420.15556	10
420.19713	59
420.34105	18
420.9944	1
421.0950	1
421.4854	2
421.74306	27
421.86648	59
422.26369	76
422.66091	16
422.69874	89
422.81577	331
422.98688	26
423.72195	269
424.3640	2
425.56027	8
425.6663	1
426.65265	288
426.7490	3
427.51592	35
427.75279	1995
428.28971	68
428.63567	6
429.79632	15
430.0449	2
430.06493	85
430.90931	93
430.92385	120
432.73364	3
432.94385	8
433.11992	603
433.20295	162
433.70705	54
433.82312	6
434.58968	9
434.80635	1995
435.22047	200
435.84915	3
436.20660	78
436.78314	129
437.07529	617
437.13285	355
437.24888	10
437.48574	30
437.59540	209
437.92128	11
437.96665	550
437.98805	794
438.2930	5
438.37545	14
438.50565	117
438.69656	5
439.4622	3
439.7798	5
440.00964	257
440.09860	8710
440.49019	18
440.64696	10
441.29035	3
442.09118	47
442.60008	1514
443.01885	661
443.09959	251
443.38377	120
443.81173	7
443.8808	1
443.94611	95
