Helium_I
#ritz_wl_air(nm) ,intens
381.9601969,10
381.9602767,10
381.9602822,10
381.9613123,10
381.9613920,10
381.9757304,1
383.3548698,0
386.7472336,3
386.7483771,3
386.7631589,1
387.1786391,1
388.8645585,500
388.8648909,500
392.6544371,1
393.5945208,0
396.4728814,20
400.9256500,1
402.3979778,1
402.6184361,50
402.6185894,50
402.6185998,50
402.6196753,50
402.6198287,50
402.6356952,5
412.0810757,12
412.0823739,12
412.0991556,2
414.3759042,3
416.8971495,1
438.7929124,10
443.7553408,3
447.1470365,200
447.1474069,200
447.1474310,200
447.1485650,200
447.1489354,200
447.1683243,25
471.3139163,30
471.3156145,30
471.3375674,4
492.1931013,20
501.567798,100
504.773854,10
587.561396,500
587.561483,500
587.562509,500
587.564035,500
587.596626,100
667.815170,100
706.517714,200
706.521530,200
706.570861,30
728.135074,50
781.612468,1
781.613680,1
781.613778,1
