#Hydrogen_I_normalized
#ritz_wl_air(nm) intens
377.06368 290.322581
379.79044 548.387097
383.53909 967.741935
388.90557 2258.06452
397.00788 967.741935
410.17415 2258.06452
434.0471 2903.22581
#486.1333 5806.45161
486.1333 3830
656.2819 16129.0323
824.9974 2.90322581
825.2399 2.90322581
825.5019 2.90322581
825.7856 3.5483871
826.0936 3.5483871
826.4285 3.5483871
826.7938 3.5483871
827.1931 4.51612903
827.6309 4.51612903
828.1123 4.51612903
828.6432 4.51612903
829.2308 5.48387097
829.8835 6.77419355
830.6113 8.06451613
831.4261 9.35483871
832.3425 9.35483871
833.3783 11.9354839
834.5553 16.1290323
835.9004 16.1290323
