#ritz_wl_air(nm)  intens
377.06368  39.130435
379.79044  73.913043
383.53909  130.43478
388.90557  304.34783
397.00788  130.43478
410.17415  304.34783
434.0471  391.30435
486.1333  782.6087
656.2819  2173.913
824.9974  0.3913043
825.2399  0.3913043
825.5019  0.3913043
825.7856  0.4782609
826.0936  0.4782609
826.4285  0.4782609
826.7938  0.4782609
827.1931  0.6086957
827.6309  0.6086957
828.1123  0.6086957
828.6432  0.6086957
829.2308  0.7391304
829.8835  0.9130435
830.6113  1.0869565
831.4261  1.2608696
832.3425  1.2608696
833.3783  1.6086957
834.5553  2.173913
835.9004  2.173913
